,narrative
5110,editing memorandum re: summary judgment
5111,revising order re: motion to strike
5112,drafting memo re: injunction
5113,researching analysis re: refusals
5114,preparing memorandum re: injunction
5115,researching motion record re: motion to strike
5116,proofing book of authority re: injunction
5117,reviewing analysis re: motion to strike
5118,proofing motion record re: injunction
5119,proofing factum re: summary judgment
5120,preparing book of authority re: refusals
5121,proofing affidavit re: refusals
5122,writing affidavit re: refusals
5123,briefing memo re: motion to strike
5124,drafting analysis re: summary judgment
5125,proofing book of authority re: refusals
5126,analyzing notice of motion re: motion to strike
5127,researching notice of motion re: disqualifying expert
5128,drafting motion record re: injunction
5129,briefing factum re: injunction
5130,briefing affidavit re: disqualifying expert
5131,reviewing notice of motion re: motion to strike
5132,researching notice of motion re: enforcing foreign judgment
5133,analyzing memo re: motion to strike
5134,briefing order re: refusals
5135,researching memo re: enforcing foreign judgment
5136,researching memo re: disqualifying expert
5137,researching motion record re: injunction
5138,revising factum re: motion to strike
5139,revising memo re: disqualifying expert
5140,briefing motion record re: refusals
5141,editing factum re: injunction
5142,researching notice of motion re: summary judgment
5143,preparing analysis re: refusals
5144,drafting factum re: injunction
5145,drafting order re: summary judgment
5146,proofing compendium re: injunction
5147,drafting notice of motion re: motion to strike
5148,briefing motion record re: summary judgment
5149,revising motion record re: injunction
5150,analyzing factum re: enforcing foreign judgment
5151,drafting order re: enforcing foreign judgment
5152,researching motion record re: summary judgment
5153,revising memorandum re: refusals
5154,editing factum re: injunction
5155,revising memorandum re: motion to strike
5156,reviewing motion record re: injunction
5157,preparing notice of motion re: summary judgment
5158,writing notice of motion re: summary judgment
5159,researching motion record re: injunction
5160,revising factum re: disqualifying expert
5161,drafting order re: refusals
5162,revising order re: enforcing foreign judgment
5163,preparing order re: disqualifying expert
5164,proofing factum re: injunction
5165,drafting motion record re: disqualifying expert
5166,revising order re: motion to strike
5167,revising notice of motion re: enforcing foreign judgment
5168,proofing compendium re: motion to strike
5169,proofing motion record re: injunction
5170,drafting notice of motion re: refusals
5171,drafting motion record re: enforcing foreign judgment
5172,preparing factum re: disqualifying expert
5173,revising motion record re: refusals
5174,editing analysis re: disqualifying expert
5175,revising affidavit re: motion to strike
5176,analyzing affidavit re: motion to strike
5177,briefing memo re: motion to strike
5178,preparing memo re: injunction
5179,preparing affidavit re: disqualifying expert
5180,researching memo re: disqualifying expert
5181,preparing analysis re: enforcing foreign judgment
5182,reviewing memorandum re: disqualifying expert
5183,briefing affidavit re: enforcing foreign judgment
5184,proofing book of authority re: summary judgment
5185,writing affidavit re: motion to strike
5186,drafting analysis re: disqualifying expert
5187,editing memorandum re: disqualifying expert
5188,researching order re: refusals
5189,revising notice of motion re: refusals
5190,researching book of authority re: disqualifying expert
5191,analyzing affidavit re: summary judgment
5192,drafting book of authority re: enforcing foreign judgment
5193,editing analysis re: injunction
5194,reviewing memorandum re: disqualifying expert
5195,proofing memorandum re: disqualifying expert
5196,proofing analysis re: summary judgment
5197,analyzing analysis re: motion to strike
5198,drafting memorandum re: refusals
5199,researching compendium re: refusals
5200,analyzing memo re: disqualifying expert
5201,drafting book of authority re: disqualifying expert
5202,briefing memorandum re: refusals
5203,briefing compendium re: enforcing foreign judgment
5204,reviewing compendium re: summary judgment
5205,drafting notice of motion re: refusals
5206,preparing order re: refusals
5207,preparing memo re: summary judgment
5208,researching factum re: refusals
5209,reviewing affidavit re: motion to strike
5210,reviewing memorandum re: enforcing foreign judgment
5211,researching factum re: injunction
5212,preparing order re: motion to strike
5213,briefing book of authority re: injunction
5214,preparing book of authority re: enforcing foreign judgment
5215,drafting memo re: refusals
5216,drafting notice of motion re: refusals
5217,drafting affidavit re: disqualifying expert
5218,revising order re: refusals
5219,briefing memo re: motion to strike
5220,drafting memorandum re: refusals
5221,revising affidavit re: summary judgment
5222,analyzing motion record re: motion to strike
5223,drafting memo re: injunction
5224,preparing order re: enforcing foreign judgment
5225,preparing book of authority re: motion to strike
5226,writing analysis re: motion to strike
5227,editing analysis re: injunction
5228,analyzing order re: motion to strike
5229,editing analysis re: refusals
5230,revising notice of motion re: disqualifying expert
5231,analyzing compendium re: motion to strike
5232,researching notice of motion re: refusals
5233,proofing affidavit re: refusals
5234,drafting book of authority re: enforcing foreign judgment
5235,researching order re: motion to strike
5236,proofing analysis re: motion to strike
5237,editing memorandum re: injunction
5238,drafting notice of motion re: disqualifying expert
5239,researching memo re: refusals
5240,revising order re: injunction
5241,researching memo re: disqualifying expert
5242,analyzing motion record re: disqualifying expert
5243,reviewing affidavit re: disqualifying expert
5244,briefing book of authority re: enforcing foreign judgment
5245,writing book of authority re: enforcing foreign judgment
5246,researching factum re: injunction
5247,editing motion record re: refusals
5248,drafting notice of motion re: motion to strike
5249,analyzing order re: disqualifying expert
5250,proofing notice of motion re: disqualifying expert
5251,researching notice of motion re: motion to strike
5252,reviewing analysis re: injunction
5253,writing affidavit re: summary judgment
5254,reviewing memorandum re: refusals
5255,editing analysis re: motion to strike
5256,briefing book of authority re: motion to strike
5257,writing affidavit re: motion to strike
5258,revising motion record re: summary judgment
5259,editing book of authority re: disqualifying expert
5260,drafting book of authority re: disqualifying expert
5261,preparing book of authority re: motion to strike
5262,revising affidavit re: disqualifying expert
5263,researching notice of motion re: enforcing foreign judgment
5264,proofing memo re: refusals
5265,analyzing memorandum re: summary judgment
5266,proofing affidavit re: injunction
5267,writing motion record re: disqualifying expert
5268,revising memo re: injunction
5269,writing analysis re: enforcing foreign judgment
5270,drafting order re: disqualifying expert
5271,revising compendium re: summary judgment
5272,researching motion record re: refusals
5273,proofing book of authority re: refusals
5274,revising compendium re: refusals
5275,drafting motion record re: disqualifying expert
5276,researching book of authority re: motion to strike
5277,writing order re: motion to strike
5278,proofing order re: motion to strike
